age,gpa,faminc,mayuse,attuse,attusers,streneff,athabil,wghtsat,sterknow,testknow,suppknow,peerinfo,teaminfo,coainfo,coachtol,bodyimg,esteem,impuls,rmay,rsupp,rtest
15,4,7,1,7,3.67,7,6.5,2,12,999,3,5.33,7,7,1.33,5,7,1.5,0,0,1
16,2,7,4,4,4,4,4,999,8,0,999,4,4,4,4,5,4,4,0,1,0
16,2,999,4,4,5,4,4,3,0,0,0,4,4,4,4,4,4,4,0,0,0
17,4,7,1,6.67,5.67,6.67,7,5,9,1,2,1,5,4.33,1,5,7,2.67,0,0,0
18,2,4,1,6,6,7,7,4,4,1,0,3,4,5,2,4,5.5,4.83,0,0,0
14,2,999,1,5,4,6,4,5,0,0,0,4,4,4,3,999,4,4,0,0,0
16,2.5,999,2.6,3,4,4,7,999,0,999,999,4,4,4,3,999,4,4,0,1,1
15,4,6,1,7,5.67,6,7,2,14,2,3,3.33,5.33,6,1.67,4.33,7,4,0,0,0
16,2.5,999,4,4,4,4,4,5,0,0,1,4,4.33,4,4,3.33,6,5,0,0,0
14,2.5,999,4,4,4,4,4,3,0,0,0,4,4,4,4,1,4,4,0,0,0
16,2,4,4,4,4,4,4,2,0,0,0,4,4,4,4,3.33,4,4,0,0,0
16,3.5,3,1,6,6,5.5,4,5,15,0,0,4.67,4,6,7,3,5.25,1,0,0,0
15,3,999,1,5,5,6,4,5,0,0,0,5,4,4,1,5,4,4,0,0,0
17,2,999,4,4,6,4.5,4,5,0,0,0,5,4,6,4,3,4,4,0,0,0
14,3.5,999,1,5.33,7,7,7,4,11,1,3,4,3.33,5,1,5,7,3.17,0,0,0
17,1.5,4,1,5,5.33,1.67,7,1,0,0,0,1,4,1,2,3,4,4,0,0,0
18,2,6,1,6.33,4.33,6.17,6.75,5,8,0,2,3.67,6,5,1.67,4.33,5.5,2.33,0,0,0
16,2.5,5,4,4,4,4,4,3,0,0,999,4,4,4,4,3,4,4,0,1,0
17,2.5,1,1,5,3,4,7,999,9,999,0,4,4,4,1,3.33,2.5,1,0,0,1
18,2.5,5,1,5.67,6.67,6.67,6,4,9,999,3,4,5.33,5.33,1.33,4.33,5.5,1.67,0,0,1
16,3,999,4,5,4,4,6.75,5,0,0,0,4,4,4,4,2.33,4,4,0,0,0
14,3.5,7,1,6.67,7,5.5,5.5,3,7,0,3,5,3.67,4,2.33,3.67,6,2.5,0,0,0
16,3,6,2.6,4.67,3,5.5,7,5,13,0,1,4,5.33,4,4.33,5,5,3.67,0,0,0
17,3.5,999,1,7,3,6.33,5,3,14,0,2,7,7,7,1,4,6.75,3,0,0,0
16,3.5,6,3.8,6.67,5,7,7,4,17,1,3,5,7,7,1,5,7,3.67,0,0,0
14,3.5,7,1.2,5.67,5.67,6.17,6.75,5,12,1,2,2.67,3.67,4,2.33,4.33,7,2.4,0,0,0
18,3.5,999,1,5,1.33,7,7,3,5,1,999,7,7,7,1,4.33,7,2,0,1,0
16,1.5,7,1.2,3,4,4,4,3,16,1,999,4,4,4,7,5,4,4,0,1,0
17,3.5,7,1,5,4.67,3.83,5.75,5,6,0,2,4,4,4,2,3.33,6.25,1.5,0,0,0
15,3.5,999,4.2,5.5,5,6.17,7,3,12,0,2,5,5,5.33,1.67,3.67,5.75,2.33,0,0,0
17,3.5,7,1,5,4,4,4,2,16,0,0,4,4,4,1,5,4,4,0,0,0
16,3,999,1.4,5.33,5,6.83,6.25,999,14,1,2,4,5.33,5,1.33,4,6.75,2.33,0,0,0
15,4,5,1,5.67,3,5.83,7,5,13,1,999,4.33,6.67,5.33,3.67,4.33,7,1.83,0,1,0
17,3.5,7,4.8,5.33,3.67,4,5.5,2,1,0,3,4,5,4,4,3,7,4,0,0,0
15,4,7,1,6,5,6,6,3,14,1,3,4.67,6,5.33,1.67,4,6.5,2.67,0,0,0
17,2.5,5,4,4,4,4,4,2,0,0,0,4,4,4,4,3,4,4,0,0,0
15,3,999,1,7,5.33,7,7,2,2,0,0,6,7,7,1,4,7,5.17,0,0,0
17,3.5,999,1,7,5,6.67,6.5,2,13,0,0,4,6,7,1,4.33,6.25,1,0,0,0
16,3.5,999,1,7,5.33,6.83,6.5,5,14,0,2,7,7,7,1,4.33,6.25,4.17,0,0,0
15,2,999,5.2,2.67,4,6.5,6,3,5,999,1,3,5.33,4.33,1,3,5,4.33,0,0,1
18,3.5,7,4,4,4,4,4,1,0,0,0,4,4,4,4,2.33,4,4,0,0,0
15,3.5,999,1,5.33,7,7,7,4,15,0,1,4.67,6.67,6.67,2,5,7,1,0,0,0
16,4,4,1,6.67,3,6,4.75,5,4,1,1,1.33,6,5.67,4,5,5.75,2.83,0,0,0
16,4,7,1,7,6.33,5.67,6,4,15,1,3,4,5.33,5,3,4.33,7,1,0,0,0
14,3.5,7,1,4.67,3.33,5.67,6.25,4,9,2,4,4,5.33,5.67,1.67,4,5.5,3,0,0,0
15,3.5,999,1,7,7,6.83,6.5,4,9,0,3,7,7,7,1,5,7,1,0,0,0
14,3,5,1.6,6,4,6,5.25,2,13,1,2,3.67,5.33,4.33,2.67,4,5.75,2.17,0,0,0
14,3.5,999,2,4,3.67,7,6,5,14,0,3,5.33,6,6,2,5,6,3,0,0,0
15,3.5,5,2.8,5,5,4,4.5,3,5,0,2,4,4,4,4,5,5.5,4,0,0,0
14,3.5,2,1,6.67,5.67,7,7,2,14,1,2,5,6.67,6.33,2,4.33,6,5,0,0,0
17,4,6,3,4.33,999,4.67,5.5,3,14,999,3,2.67,5.67,5,2,3.67,5.25,3.67,0,0,1
18,2,5,999,6.5,4.67,6.5,6.25,2,16,0,2,6.33,6.67,6.67,999,2.33,6.5,6.5,1,0,0
16,3.5,4,1,5,6,6.5,6.25,2,15,1,3,4,6,6,1,4.33,7,3.5,0,0,0
16,3.5,999,1.6,4.33,4,5.67,4.75,4,0,0,0,5,4,4.33,2,4.33,4,4,0,0,0
15,4,7,1,2.33,3.67,5.5,6.5,3,12,1,3,5.67,7,6.33,3,4,7,2.5,0,0,0
14,3,5,4,4,4,4,4.75,2,0,0,0,4,4,4,4,4.33,4,4,0,0,0
15,4,5,1,7,6.33,5.67,5.75,2,15,1,3,5,6,5,1,3,6.25,2.33,0,0,0
17,4,6,1,5.67,5,7,7,2,16,0,2,4.33,6,5,1.67,4,6.75,1,0,0,0
18,3,2,2.2,3,4,3.33,4.5,2,14,0,999,4,4,4,4,999,5,4.67,0,1,0
18,2.5,4,1,4,4,5,6.5,1,8,0,0,4,4,7,2.67,4.33,6,6.5,0,0,0
14,4,999,1,7,5,6.5,7,3,12,1,2,3,3.67,3,1,5,7,2.83,0,0,0
15,3,999,2,2.33,3.33,6.33,7,2,14,999,2,4.33,5.33,6.33,1.33,4.33,7,2.5,0,0,1
15,2.5,999,1,3.33,4,6.17,6.25,5,9,1,2,5.67,5.67,5,1,4,5.5,5.17,0,0,0
15,1,999,1,5.33,6.33,4.33,5.25,4,8,0,0,4,4,4,4.33,3,5,2.17,0,0,0
14,1.5,999,1,5.33,4.67,7,6.67,4,13,0,0,4,6,7,1.67,1.67,5.5,4.17,0,0,0
15,4,999,4.2,5.67,3,5.33,5.5,1,12,999,0,6,4.33,4.33,1.33,3,5.5,4,0,0,1
14,3,999,1,6.33,6.33,7,6,1,4,0,999,7,7,7,1,4.67,6,2,0,1,0
15,4,2,1,2,3.67,1.6,2.5,5,2,0,0,1.67,4,1.33,6.67,3,3.5,1.33,0,0,0
15,3.5,7,1,7,7,5.33,4.75,1,12,2,999,4.67,4,2.67,3,3,5,2.17,0,1,0
16,2,999,2.8,3.67,3,6,5.5,4,16,0,2,5.33,5,6,4,4,4.75,3.67,0,0,0
14,0.5,6,1,4,5.67,7,6,999,14,999,1,4.33,6,5.67,3,4.33,4.5,2.33,0,0,1
15,3.5,999,1,7,5.33,7,6,2,15,1,4,7,6,7,1,4,6,3.17,0,0,0
16,3,7,1,7,2,7,7,1,16,1,1,7,7,7,1,5,7,1.67,0,0,0
16,2,4,1.6,5.67,4,7,6,4,16,1,3,4,4.67,4,3,4,6.25,3.17,0,0,0
16,4,7,1,7,5,7,7,3,4,999,999,7,5,6,2,4.67,6,2.17,0,1,1
14,3,2,1,6.67,7,7,7,4,5,0,4,5.67,6.33,7,2,4.33,7,4.17,0,0,0
16,3,5,1,7,4,7,7,4,15,1,3,4,5,6,1,2.33,7,2.17,0,0,0
15,3.5,999,1.6,4,3.33,4.83,5,3,13,1,2,3.67,4.33,3.67,2.67,3.33,4.75,2.83,0,0,0
17,2,4,2.2,4.67,4,6.17,5,4,15,1,1,4,4,2.33,3,4,7,4.67,0,0,0
17,3,6,2.2,4,4,7,4,3,0,0,1,5,4,5,1,3,4,4,0,0,0
17,3,999,1,5.67,5,6.5,5.5,3,16,2,4,5,5.67,5,1.67,3.33,6.5,2.17,0,0,0
16,4,7,1.6,4,4,5.67,6.75,3,8,2,3,999,6,5.67,1.67,5,6.5,3.17,0,0,0
16,4,7,1.4,5.67,5.33,4.83,6,4,14,2,3,5.67,6,6.67,1.33,3,6.75,2.83,0,0,0
18,2.5,5,1,3.67,7,7,4,3,0,0,0,7,4,7,1,5,4,4.5,0,0,0
16,4,999,1,6,5.33,5.67,6,4,14,1,4,5,5,5,2.33,4,6,2.5,0,0,0
16,3,2,1,6.33,6.33,4.8,6.25,3,16,2,2,4.33,5.33,5,2.67,3.33,5.5,2.17,0,0,0
17,2,7,1,7,5,6.5,5.5,1,15,0,4,7,7,1.33,3,2.33,4.5,2.83,0,0,0
16,3.5,3,1,5.67,5.67,5.67,6.25,3,13,2,4,3,6,4.67,2.33,3,7,2.17,0,0,0
19,2,1,1,4.67,5.67,6.5,7,5,13,0,3,6.67,7,5,3,3.67,5,2,0,0,0
18,2,999,1,7,5,6.5,6.75,3,16,1,2,7,7,7,1,4.67,6.75,1.83,0,0,0
18,3,7,2.2,5.33,4,5.83,5.5,4,14,0,0,4.33,5.33,5,3.33,3.33,5,4.67,0,0,0
17,3.5,7,2.2,3,3,6,7,3,15,2,3,4,7,4,1,1,3.75,4.33,0,0,0
16,4,7,1,5.67,4.33,7,7,2,12,0,2,7,4,7,2,5,7,1.33,0,0,0
18,2,999,1,5.33,6,6.17,6.25,3,14,0,2,4.33,6,5,3,3.67,5.75,3.67,0,0,0
16,2.5,4,1.6,7,3,7,6.75,1,15,1,3,7,5.67,7,1,2.33,5.25,5.5,0,0,0
16,3,4,1,4.67,7,5.5,6.5,999,11,1,1,5.67,4.67,6.67,1.33,3,5.75,2,0,0,0
17,3.5,6,1,4.67,3,6.5,6,1,16,1,4,7,7,7,1,3.33,6,1.17,0,0,0
18,3,3,1,5,7,7,7,2,16,1,4,7,7,5,1,2.67,7,1.5,0,0,0
16,2,999,4,5,4,4.17,5.75,2,0,1,0,4,4,4,2,3.67,4,4,0,0,0
16,3.5,999,1,5.33,5,6.83,7,1,15,1,4,7,5,7,1,2,5,3.33,0,0,0
17,4,7,1,7,7,5.5,5.75,3,15,2,4,5.33,5,6,1,4,6,2.83,0,0,0
16,4,999,1,4.33,6,5,6.5,2,12,1,4,5,7,5,1,5,6,1,0,0,0
18,3,999,4,3.67,4.67,4.5,7,3,10,2,1,4.33,4,4,4,3.33,5.75,3.5,0,0,0
16,3,2,1,5,3,6.5,7,4,10,1,3,7,7,7,1,3.33,7,1.33,0,0,0
16,4,7,2.8,4,5.33,7,6.25,4,16,1,4,5,7,6,1,3.67,6,3.5,0,0,0
15,4,5,1,6,5.67,6.67,6.5,2,15,2,4,6.33,6.67,6.33,1.67,4,7,1.33,0,0,0
16,2.5,7,1.6,3.67,5,5,4.5,2,2,2,0,5,4,5,2,3,4,4,0,0,0
15,4,999,1,6.67,5.67,6.67,7,4,16,1,3,6.33,6.33,5.67,1.67,4.33,7,1.67,0,0,0
16,3.5,6,1,7,6.67,6.5,5.75,4,15,2,999,7,6,4,3,3.67,7,3,0,1,0
17,2.5,6,3.2,5.67,1,7,7,4,16,1,4,1,7,6.33,1,3.33,7,5.17,0,0,0
17,3.5,7,1,5.33,4.33,5.5,6,4,15,2,0,6,4.33,6,1.33,4,4.75,3.17,0,0,0
17,3,999,1,7,2,7,4.5,4,15,1,4,7,5.67,6.67,1,4,4,1,0,0,0
17,2,7,1,6.33,6.33,6.67,6,2,13,1,4,4.33,6.33,4.67,1,4,5.25,3.83,0,0,0
16,3,7,1,3,7,6.5,7,2,16,1,4,3.67,7,4.33,1,3,6.75,2.17,0,0,0
17,3.5,4,1,3.67,3,5.17,6.75,2,14,1,4,5.33,7,6,1,3,5,1.83,0,0,0
16,3,5,4,4,4,4,4,999,0,0,1,4,4,4,4,3.67,4,4,0,0,0
999,999,999,1,6.67,6.67,6,6.75,999,10,0,1,4,6,5,1,4.33,6,3.17,0,0,0
17,2.5,6,1,6,6,6,7,3,6,1,1,4,4,4,3,5,7,3.5,0,0,0
17,3.5,6,6.2,7,5,7,7,3,15,999,1,7,7,7,1,999,7,7,0,0,1
17,3.5,999,1,7,7,4.5,5.75,1,1,1,3,5,5,5.33,2,3.33,7,1,0,0,0
15,3,999,2.2,5.5,2,6.5,999,4,0,0,2,7,999,7,2,999,4,4,0,0,0
17,2.5,4,1,7,6.33,6.33,6.75,2,6,999,2,1,7,6,3,5,7,1,0,0,1
16,2,999,1,7,4,7,7,1,3,1,0,7,4,7,4,5,1,1,0,0,0
17,2,1,1,5.67,5,6.17,6,4,15,2,4,5,3.67,5,1.67,4,4.75,4.5,0,0,0
17,3,5,1,6,6.67,5.17,7,4,1,1,4,4,6,3,2,4.67,6.33,4,0,0,0
17,2,999,4,4,4,4,4,2,0,0,0,4,4,4,4,1,4,4,0,0,0
15,3,4,3,4,4.33,4.83,6,4,15,1,2,5,4.33,4.67,4,4,5.25,3.83,0,0,0
14,3,1,1,7,5.67,5.17,7,3,11,1,2,5.33,6.33,7,1,5,7,3.5,0,0,0
17,3.5,5,3.4,4.5,4,3.33,3.5,2,16,1,0,4,4.67,4.33,4,3.33,4.25,4,0,0,0
16,3,999,2.5,5.33,5,6.5,7,2,16,2,3,6,7,4,1,4.67,7,6,0,0,0
16,2,999,1,4,5,7,7,3,16,0,4,7,7,7,1,5,7,4,0,0,0
16,2.5,2,1,6,6.67,5.83,7,2,11,0,2,6,6.67,6,2.33,4.67,3.5,2,0,0,0
16,3.5,999,2.2,5,4,4.83,4,1,0,0,0,5.67,4,6.33,2,3.67,4.25,4,0,0,0
17,4,999,1,3.67,4.67,6,7,2,0,0,3,6,6,5.33,1,3.33,7,2.67,0,0,0
16,3.5,999,1,4.67,5.67,6.67,6.75,4,11,2,2,5.33,6.33,6.33,1,4.33,6.5,1.5,0,0,0
14,3,5,4,4,7,7,6.25,2,15,1,2,7,7,7,1,5,7,4.17,0,0,0
17,3.5,7,1,7,7,6.33,7,4,15,999,1,5,6,6.67,1,5,7,2.67,0,0,1
18,2,999,3.4,4,1,7,7,999,16,1,3,7,7,7,1,5,7,6,0,0,0
17,4,4,1,7,5.33,6.67,6.25,4,16,2,4,5,5.67,5.67,1.33,3.33,6,2.33,0,0,0
16,4,7,1.4,5.33,5.67,5.5,6,2,10,2,1,4.33,6,5.33,1.67,3,6.25,2.17,0,0,0
16,3.5,7,1,5.67,4,6.83,7,2,16,0,2,5.67,5.67,6,1.33,4,7,1.83,0,0,0
15,4,7,1,6.67,6.67,6,6.5,3,15,1,4,4,7,6.67,1.33,4.33,6.25,3.17,0,0,0
15,4,7,1,5,5,6.67,7,4,14,1,3,7,7,7,1,5,7,4.5,0,0,0
16,3.5,999,2.2,5,6,7,7,2,15,1,2,7,7,7,1,5,7,1.5,0,0,0
15,4,999,1,4.33,2.67,6,7,3,13,1,999,2.33,4.33,3.67,2.33,4,7,1.17,0,1,0
16,3.5,4,1,7,5.67,6.5,5.75,2,11,1,3,6.33,6,6,1,2.67,7,1.83,0,0,0
15,3.5,7,1,4.67,4.33,5.83,5.5,2,13,0,3,3.33,5.67,5,2.67,3,5.5,2.83,0,0,0
16,3,7,1.2,3,5.33,7,7,1,14,0,0,5.33,7,7,1,4.67,7,1.83,0,0,0
17,3.5,7,1.8,6.67,5.33,5.33,5.75,4,15,0,3,4,5.67,5,1.67,3.33,6,1.83,0,0,0
17,3,999,2.8,4,3.33,6,6.75,1,2,2,3,4,5,4.33,6,4,6.5,4,0,0,0
16,3.5,999,2.6,4.33,3.67,6.83,5,2,5,1,3,4,5.33,4,1.67,3.33,6,3,0,0,0
15,4,4,1,6,6,6,4.5,2,15,1,3,6,6,7,1,3.33,4.25,1.83,0,0,0
16,3.5,999,1,7,7,6.67,7,5,14,1,1,7,7,7,1,4,7,1,0,0,0
16,4,7,1,5,6.33,6.67,6.5,4,13,1,3,6.67,6.33,6,1,3,6.75,1.33,0,0,0
15,3.5,999,1,6.33,3,6,6.75,4,12,1,3,4.67,6,5,1,4,7,1.33,0,0,0
17,3.5,6,4.6,1,1,7,7,1,13,2,3,3,7,7,1,2.67,7,4,0,0,0
17,3.5,999,2,4.67,3,6.83,6.75,2,4,1,3,5.33,6.33,7,2.33,3.33,6.5,2.17,0,0,0
16,4,999,1,4.67,7,7,6.5,2,15,1,2,5,4.67,6,1,4,7,1.67,0,0,0
999,999,999,1,5.67,7,7,7,999,12,1,2,6,6.67,7,1,4,7,1.83,0,0,0
16,3,5,1,3,5.33,4.5,4.75,2,13,1,2,5,6,5.67,1.33,4,5.75,3.33,0,0,0
17,3,999,1,6,5,7,7,3,0,0,0,7,7,7,1,5,5.5,2.5,0,0,0
999,999,999,1,6,4.33,6.67,6.5,999,8,0,2,5.67,7,6,1,3.67,6.5,1.67,0,0,0
15,3.5,7,1,4.33,3.33,6.33,5.5,3,13,2,3,3.67,6,5,2,4.33,6,3,0,0,0
17,2.5,999,1,4.67,3,5.33,5.5,2,4,0,1,4,5.33,4,3.67,3,6.5,5.33,0,0,0
16,4,7,1.2,5.33,6,5,6,2,15,1,2,2,5,4.33,1.67,4.33,6.5,2,0,0,0
15,3.5,7,4,5,4,4,7,5,0,1,1,4,4,4,4,5,4,4,0,0,0
16,3.5,5,1,7,999,6.67,6.25,3,15,999,3,4,5,7,3,4,7,1,0,0,1
14,2.5,5,999,999,999,999,999,2,16,999,999,999,999,999,999,999,999,999,1,1,1
14,3,999,999,999,999,999,999,3,16,999,999,999,999,999,999,999,999,999,1,1,1
14,4,6,1,2.67,4,4.67,3.75,4,6,0,1,4,4,4,4,3.33,4,4,0,0,0
15,3.5,999,1,5,4,6,4,3,13,1,0,4,4,4,6,5,4,4,0,0,0
15,999,999,1,7,6,7,7,5,13,1,0,7,4,6.33,1,5,4,4,0,0,0
14,4,3,1,7,6,6.5,7,5,9,1,2,3.33,6,2,3,5,7,2.17,0,0,0
14,4,999,1,7,3.33,6,6.25,5,9,1,3,1.33,3,1,2.33,3.33,6.5,3,0,0,0
17,2,6,4.4,2.67,4,4,5.5,3,4,0,0,4,3.67,4,5,3.33,4,4.33,0,0,0
18,3,7,1,2.67,3.33,5.83,7,5,13,0,1,3.33,4.67,4.33,2,5,7,2.83,0,0,0
17,2.5,999,4,4,999,4,6.25,2,0,0,999,4,4,4,4,3.33,4,4,0,1,0
16,3,6,1,3,3,7,7,3,16,2,999,7,4,7,5,3,4,4,0,1,0
16,2.5,7,3.4,3.33,4,1,6.75,3,9,0,0,1,7,1,4,5,5.5,4,0,0,0
17,2.5,7,1,5.67,7,6.5,7,2,16,1,4,7,7,7,1,5,7,3.33,0,0,0
999,999,7,4,4,4,4,4,4,0,0,0,4,4,4,4,5,4,4,0,0,0
17,3,999,4,4,4,4,4,5,0,0,0,4,4,4,4,1,4,4,0,0,0
17,2,7,3.8,3.67,3.67,5,6.25,2,7,0,0,5.33,5.33,5,2.67,3.33,4,4,0,0,0
14,3,3,1,6,7,4.67,7,2,7,2,4,1,5,4,2,4,6.75,3.67,0,0,0
15,3.5,7,1,7,6,5.83,6,3,13,1,1,4.33,6,5.33,1.33,4,6.5,2.17,0,0,0
17,2,7,999,999,999,999,999,4,16,999,999,999,999,999,999,999,999,999,1,1,1
16,2,999,4,4,4,5.83,4,2,0,0,0,4,4,4,4,1,4,4,0,0,0
16,3,999,1,4,5,7,4.75,3,3,0,0,7,6,7,7,1,4,4,0,0,0
17,3.5,6,1.4,3,2.33,6.33,7,1,16,1,1,4,7,5,4,2,7,2,0,0,0
17,3.5,7,1,7,7,6.67,7,4,13,1,1,3.33,6.33,5.33,1.33,4.67,7,1.17,0,0,0
15,3.5,999,999,999,999,999,999,1,16,999,999,999,999,999,999,999,999,999,1,1,1
18,1.5,6,1,6,5,7,7,2,16,0,1,4,6,7,1,4.33,5.5,3.5,0,0,0
15,2.5,7,1,5,4,5.5,4,3,0,0,2,4,7,5.67,3.67,3,4.75,4.33,0,0,0
15,3,999,999,5.5,4,4,4.25,2,14,999,1,4,6,4,999,999,4,4,1,0,1
999,999,999,1.2,7,5.33,4.17,6.75,999,3,1,2,5,7,5,1.67,5,7,2.5,0,0,0
14,3.5,4,3.4,3.33,4,4,5.5,3,6,0,1,4,4,4,4,4.67,5.25,4,0,0,0
14,999,999,4,3,4,4,7,5,0,999,2,4,1,4,4,5,2.5,5,0,0,1
16,3.5,7,2.6,1,2.33,5.17,4.5,3,13,1,2,4.33,4.33,5,1.33,3,5,4.67,0,0,0
17,2.5,7,1,7,5,6,7,4,11,1,3,7,7,7,1,5,6.75,4.5,0,0,0
16,2.5,6,4,2,2.33,6.17,7,2,0,1,3,1,5,1,2.67,1,5.75,5,0,0,0
15,3.5,7,1,5.67,4,5.33,7,3,15,1,4,5.67,5,6,1.33,4,7,3,0,0,0
16,3,7,1.8,5.33,2,7,7,2,16,1,4,7,6.67,7,1,5,6.5,2,0,0,0
18,2.5,7,1,7,7,6.5,7,3,16,2,3,7,7,7,1,5,7,1.5,0,0,0
16,3.5,999,4,4,4,4,4,1,16,1,0,4,4,4,4,3.33,4,4,0,0,0
16,4,7,3.6,6,5,7,7,5,16,1,4,7,7,7,1,5,7,2,0,0,0
15,3.5,7,4,3,1.33,7,6.25,4,16,2,4,7,5.33,7,1,4,5.5,6.33,0,0,0
16,3,7,2.6,4.67,4,6,7,3,16,2,4,6,6,2.67,2,4,6,3.17,0,0,0
16,4,7,1,6.67,5,6.83,7,2,16,2,4,6,5.67,6,1,5,7,3.5,0,0,0
17,3.5,7,1,6.67,6,6.33,5.75,2,14,1,3,7,5,7,2,4.67,7,1.5,0,0,0
15,3,999,1,6.33,6.33,4.33,5.5,2,13,1,3,5,6,5.33,7,3,5.5,2.5,0,0,0
17,2,7,1,4,4,4,6,1,0,0,999,4,4,4,7,3.67,4,4,0,1,0
14,3.5,7,2.8,4.67,4.67,4.33,6.75,2,15,2,3,2,6,4,2.33,4,5.75,1.5,0,0,0
14,3.5,4,1,4,6,5.67,7,4,16,1,3,1,7,6,1.33,3,4,1,0,0,0
